tick,total_waste,green_waste,yellow_waste,red_waste,waste_disposed,avg_energy,messages_sent
1,15,15,0,0,0,99.0,0
2,14,14,0,0,0,97.88888888888889,6
3,13,13,0,0,0,96.77777777777777,12
4,12,12,0,0,0,95.66666666666667,19
5,12,12,0,0,0,94.66666666666667,26
6,12,12,0,0,0,93.66666666666667,34
7,12,12,0,0,0,92.66666666666667,43
