tick,total_waste,green_waste,yellow_waste,red_waste,waste_disposed,avg_energy,messages_sent
362,7,3,1,3,4,0.8888888888888888,3172
363,7,3,1,3,4,2.5555555555555554,3181
364,7,3,1,3,4,1.5555555555555556,3190
365,7,3,1,3,4,1.0,3199
366,7,3,1,3,4,0.8888888888888888,3208
367,7,3,1,3,4,2.5555555555555554,3217
368,7,3,1,3,4,1.5555555555555556,3227
369,7,3,1,3,4,1.0,3237
370,7,3,1,3,4,0.8888888888888888,3246
371,7,3,1,3,4,2.5555555555555554,3256
372,7,3,1,3,4,1.5555555555555556,3265
373,7,3,1,3,4,1.0,3274
374,7,3,1,3,4,0.8888888888888888,3283
375,7,3,1,3,4,2.5555555555555554,3292
376,7,3,1,3,4,1.5555555555555556,3301
377,7,3,1,3,4,1.0,3310
378,7,3,1,3,4,0.8888888888888888,3319
379,7,3,1,3,4,2.5555555555555554,3328
380,7,3,1,3,4,1.5555555555555556,3337
381,7,3,1,3,4,1.0,3346
382,7,3,1,3,4,0.8888888888888888,3355
383,7,3,1,3,4,2.5555555555555554,3364
384,7,3,1,3,4,1.5555555555555556,3373
385,7,3,1,3,4,1.0,3382
386,7,3,1,3,4,0.8888888888888888,3391
387,7,3,1,3,4,2.5555555555555554,3400
388,7,3,1,3,4,1.5555555555555556,3409
389,7,3,1,3,4,1.0,3418
390,7,3,1,3,4,0.8888888888888888,3427
391,7,3,1,3,4,2.5555555555555554,3436
392,7,3,1,3,4,1.5555555555555556,3445
393,7,3,1,3,4,1.0,3454
394,7,3,1,3,4,0.8888888888888888,3463
395,7,3,1,3,4,2.5555555555555554,3472
396,7,3,1,3,4,1.5555555555555556,3481
397,7,3,1,3,4,1.0,3490
398,7,3,1,3,4,0.8888888888888888,3499
399,7,3,1,3,4,2.5555555555555554,3508
400,7,3,1,3,4,1.5555555555555556,3516
401,7,3,1,3,4,1.0,3524
402,7,3,1,3,4,1.3333333333333333,3532
403,6,2,1,3,4,2.4444444444444446,3540
404,6,2,1,3,4,1.4444444444444444,3548
405,6,2,1,3,4,0.8888888888888888,3557
406,6,2,1,3,4,1.2222222222222223,3566
407,6,2,1,3,4,2.4444444444444446,3575
408,6,2,1,3,4,1.4444444444444444,3584
409,6,2,1,3,4,0.8888888888888888,3593
410,6,2,0,4,4,1.2222222222222223,3602
411,6,2,0,4,4,2.4444444444444446,3611
412,6,2,0,4,4,1.4444444444444444,3620
413,6,2,0,4,4,0.8888888888888888,3629
414,6,2,0,4,4,1.2222222222222223,3638
415,6,2,0,4,4,2.4444444444444446,3647
416,6,2,0,4,4,1.4444444444444444,3655
417,6,2,0,4,4,0.8888888888888888,3663
418,6,2,0,4,4,1.6666666666666667,3671
419,5,1,0,4,4,2.3333333333333335,3679
420,5,0,1,4,4,1.3333333333333333,3687
421,5,0,1,4,4,0.7777777777777778,3696
422,5,0,1,4,4,1.5555555555555556,3705
423,5,0,1,4,4,2.3333333333333335,3714
424,5,0,1,4,4,1.3333333333333333,3723
425,5,0,1,4,4,0.7777777777777778,3733
426,5,0,1,4,4,1.5555555555555556,3743
427,5,0,1,4,4,2.3333333333333335,3752
428,5,0,1,4,4,1.3333333333333333,3761
429,5,0,1,4,4,0.7777777777777778,3771
430,5,0,1,4,4,1.5555555555555556,3780
431,5,0,1,4,4,2.3333333333333335,3790
432,5,0,1,4,4,1.3333333333333333,3800
433,5,0,1,4,4,0.7777777777777778,3810
434,5,0,1,4,4,1.5555555555555556,3820
435,5,0,1,4,4,2.3333333333333335,3830
436,5,0,1,4,4,1.3333333333333333,3840
437,5,0,1,4,4,0.7777777777777778,3849
438,5,0,1,4,4,1.5555555555555556,3858
439,5,0,1,4,4,2.3333333333333335,3867
440,5,0,1,4,4,1.3333333333333333,3876
441,5,0,1,4,4,0.7777777777777778,3885
442,5,0,1,4,4,1.5555555555555556,3894
443,5,0,1,4,4,2.3333333333333335,3903
444,5,0,1,4,4,1.3333333333333333,3912
445,5,0,1,4,4,0.7777777777777778,3921
446,5,0,1,4,4,1.5555555555555556,3931
447,5,0,1,4,4,2.3333333333333335,3940
448,5,0,1,4,4,1.3333333333333333,3949
449,5,0,1,4,4,0.7777777777777778,3958
450,9,4,1,4,4,1.5555555555555556,3968
451,9,4,1,4,4,2.3333333333333335,3975
452,8,3,1,4,4,1.2222222222222223,3982
453,8,3,1,4,4,1.5555555555555556,3989
454,7,2,1,4,4,1.7777777777777777,3997
455,7,2,1,4,4,2.5555555555555554,4004
456,7,2,1,4,4,1.1111111111111112,4012
457,7,2,1,4,4,1.8888888888888888,4020
458,6,1,1,4,4,1.2222222222222223,4028
459,6,1,1,4,4,2.4444444444444446,4036
460,6,1,1,4,4,1.0,4045
461,6,1,1,4,4,1.7777777777777777,4054
462,7,1,2,4,4,1.6666666666666667,4063
463,7,1,2,4,4,1.8888888888888888,4072
464,8,1,3,4,4,1.7777777777777777,4081
465,7,1,2,4,4,2.0,4089
466,7,1,2,4,4,2.3333333333333335,4097
467,7,1,2,4,4,2.6666666666666665,4106
468,7,1,2,4,4,1.6666666666666667,4115
469,7,1,2,4,4,2.0,4124
470,7,1,2,4,4,1.4444444444444444,4133
471,7,1,2,4,4,1.7777777777777777,4142
472,7,1,2,4,4,1.2222222222222223,4151
473,7,1,2,4,4,1.5555555555555556,4160
474,7,1,2,4,4,1.4444444444444444,4168
475,6,1,1,4,4,2.111111111111111,4175
476,6,1,1,4,4,2.0,4182
477,6,1,1,4,4,3.6666666666666665,4191
478,6,1,1,4,4,2.6666666666666665,4200
479,6,1,1,4,4,2.5555555555555554,4209
480,6,1,1,4,4,1.5555555555555556,4218
481,6,1,1,4,4,2.3333333333333335,4227
482,6,1,1,4,4,1.7777777777777777,4236
483,6,1,1,4,4,2.111111111111111,4245
484,6,1,1,4,4,1.1111111111111112,4254
485,6,1,1,4,4,1.8888888888888888,4263
486,6,1,1,4,4,1.3333333333333333,4272
487,6,1,1,4,4,1.6666666666666667,4281
488,6,1,1,4,4,1.1111111111111112,4290
489,6,1,1,4,4,1.8888888888888888,4299
490,6,1,1,4,4,1.3333333333333333,4308
491,6,1,1,4,4,1.6666666666666667,4317
492,7,1,1,5,4,1.1111111111111112,4326
493,7,1,1,5,4,1.8888888888888888,4336
494,7,1,1,5,4,1.3333333333333333,4345
495,7,1,1,5,4,1.6666666666666667,4354
496,7,1,1,5,4,1.1111111111111112,4362
497,6,1,1,4,4,1.7777777777777777,4370
498,6,1,1,4,4,1.6666666666666667,4378
499,6,1,1,4,4,1.5555555555555556,4387
500,6,1,0,5,4,1.4444444444444444,4395
501,5,0,0,5,4,1.6666666666666667,4404
502,5,0,0,5,4,1.5555555555555556,4413
503,5,0,0,5,4,1.4444444444444444,4422
504,5,0,0,5,4,1.3333333333333333,4431
505,5,0,0,5,4,1.6666666666666667,4441
506,5,0,0,5,4,1.5555555555555556,4451
507,5,0,0,5,4,1.4444444444444444,4460
508,5,0,0,5,4,1.3333333333333333,4469
509,5,0,0,5,4,1.6666666666666667,4479
510,5,0,0,5,4,1.5555555555555556,4489
511,5,0,0,5,4,1.4444444444444444,4499
512,5,0,0,5,5,1.3333333333333333,4508
513,5,0,0,5,5,1.6666666666666667,4517
514,5,0,0,5,5,1.5555555555555556,4526
515,5,0,0,5,5,1.4444444444444444,4535
516,5,0,0,5,5,1.3333333333333333,4544
517,5,0,0,5,5,1.6666666666666667,4553
518,5,0,0,5,5,1.5555555555555556,4562
519,5,0,0,5,5,1.4444444444444444,4571
520,5,0,0,5,5,1.3333333333333333,4580
521,5,0,0,5,5,1.6666666666666667,4589
522,5,0,0,5,5,1.5555555555555556,4598
523,5,0,0,5,5,1.4444444444444444,4607
524,5,0,0,5,5,1.3333333333333333,4616
525,5,0,0,5,5,1.6666666666666667,4625
